ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202021,MI1E06500E,SCUOLA PRIMARIA,2,2,21,33
202021,FI1M01200L,SCUOLA SECONDARIA I GRADO,2,1,8,14
202021,TPTD80500R,SCUOLA SECONDARIA II GRADO,4,1,6,2
202021,SATF795007,SCUOLA SECONDARIA II GRADO,5,2,55,11
202021,RM1E08900G,SCUOLA PRIMARIA,5,1,12,7
202021,SI1E002005,SCUOLA PRIMARIA,2,1,8,15
202021,BS1E01400G,SCUOLA PRIMARIA,3,1,12,12
202021,CE1E010002,SCUOLA PRIMARIA,4,1,6,6
202021,MSPSI35008,SCUOLA SECONDARIA II GRADO,5,1,3,2
202021,IM1E00600C,SCUOLA PRIMARIA,3,1,5,16
202021,BORC10500R,SCUOLA SECONDARIA II GRADO,3,1,15,14
202021,RMPS095004,SCUOLA SECONDARIA II GRADO,4,1,4,4
202021,MI1E061007,SCUOLA PRIMARIA,2,2,26,17
202021,GE1M007002,SCUOLA SECONDARIA I GRADO,1,1,8,9
202021,RM1E01200E,SCUOLA PRIMARIA,2,2,14,14
202021,BSPS88500T,SCUOLA SECONDARIA II GRADO,3,1,6,6
202021,RM1E143003,SCUOLA PRIMARIA,5,1,14,14
202021,SRTN2V5006,SCUOLA SECONDARIA II GRADO,2,1,2,0
202021,NA1E23700N,SCUOLA PRIMARIA,1,1,9,6
202021,CE1E06400A,SCUOLA PRIMARIA,3,1,6,3
202021,VA1E010008,SCUOLA PRIMARIA,4,1,8,9
202021,CE1E002003,SCUOLA PRIMARIA,2,1,12,7
202021,RMPLCV500U,SCUOLA SECONDARIA II GRADO,1,1,1,1
202021,NA1E26500T,SCUOLA PRIMARIA,1,1,5,3
202021,LU1E00600G,SCUOLA PRIMARIA,1,1,9,11
202021,AL1M006003,SCUOLA SECONDARIA I GRADO,2,2,15,13
202021,NOPSUI500C,SCUOLA SECONDARIA II GRADO,5,1,4,4
202021,VIPL015005,SCUOLA SECONDARIA II GRADO,1,1,7,3
202021,NA1E15300P,SCUOLA PRIMARIA,4,1,4,4
202021,FI1E035004,SCUOLA PRIMARIA,5,1,8,16
202021,NA1E05300T,SCUOLA PRIMARIA,4,2,12,7
202021,NA1E03700X,SCUOLA PRIMARIA,2,3,17,26
202021,PAPS8N500C,SCUOLA SECONDARIA II GRADO,2,1,3,0
202021,RCRH6N5009,SCUOLA SECONDARIA II GRADO,1,1,0,6
202021,VA1E00100D,SCUOLA PRIMARIA,1,2,14,10
202021,COPS055009,SCUOLA SECONDARIA II GRADO,3,1,10,5
202021,BS1M00800D,SCUOLA SECONDARIA I GRADO,3,1,5,13
202021,IM1E00600C,SCUOLA PRIMARIA,2,1,5,11
202021,SATDP9500M,SCUOLA SECONDARIA II GRADO,2,1,1,5
202021,CN1MMA500M,SCUOLA SECONDARIA I GRADO,1,2,10,11
202021,RM1E06200G,SCUOLA PRIMARIA,5,1,11,14
202021,GE1E026006,SCUOLA PRIMARIA,3,1,12,12
202021,CA1E01500P,SCUOLA PRIMARIA,2,1,6,12
202021,PEPC025003,SCUOLA SECONDARIA II GRADO,3,1,1,3
202021,MI1MVA500E,SCUOLA SECONDARIA I GRADO,2,2,28,22
202021,RM1E030004,SCUOLA PRIMARIA,3,1,12,6
202021,NA1E14400X,SCUOLA PRIMARIA,4,3,21,16
202021,FI1E06200C,SCUOLA PRIMARIA,4,3,41,27
202021,SSPM9L500Q,SCUOLA SECONDARIA II GRADO,4,1,1,0
202021,NAPSP25001,SCUOLA SECONDARIA II GRADO,4,1,4,4
202021,LC1E008008,SCUOLA PRIMARIA,4,1,6,9
202021,RM1E08700X,SCUOLA PRIMARIA,5,1,5,6
202021,PAPS02500Q,SCUOLA SECONDARIA II GRADO,5,3,42,25
202021,PDTD01500R,SCUOLA SECONDARIA II GRADO,3,1,10,3
202021,VAPS5H500H,SCUOLA SECONDARIA II GRADO,5,1,12,6
202021,FR1E00500L,SCUOLA PRIMARIA,5,1,5,2
202021,RM1E044002,SCUOLA PRIMARIA,3,2,18,19
202021,MI1E016009,SCUOLA PRIMARIA,5,2,16,17
202021,TO1E024008,SCUOLA PRIMARIA,2,2,21,19
202021,MIPLRL500B,SCUOLA SECONDARIA II GRADO,3,1,8,6
202021,CAPS8T5007,SCUOLA SECONDARIA II GRADO,4,1,4,5
202021,PD1E018007,SCUOLA PRIMARIA,3,2,26,29
202021,BSPSL9500N,SCUOLA SECONDARIA II GRADO,3,1,11,5
202021,BGPS12500G,SCUOLA SECONDARIA II GRADO,2,1,7,3
202021,RMRHRE5002,SCUOLA SECONDARIA II GRADO,3,1,10,6
202021,RM1E11000Q,SCUOLA PRIMARIA,5,2,24,27
202021,VE1E00100X,SCUOLA PRIMARIA,1,1,8,4
202021,VR1E00700E,SCUOLA PRIMARIA,4,2,16,18
202021,RNPC015002,SCUOLA SECONDARIA II GRADO,4,1,6,10
202021,PS1E00500V,SCUOLA PRIMARIA,5,1,12,9
202021,APPSR5500N,SCUOLA SECONDARIA II GRADO,5,1,6,3
202021,BO1E00200P,SCUOLA PRIMARIA,4,2,27,24
202021,RM1M07100G,SCUOLA SECONDARIA I GRADO,3,4,38,52
202021,BSPC01500D,SCUOLA SECONDARIA II GRADO,2,1,3,10
202021,PATDQ8500N,SCUOLA SECONDARIA II GRADO,5,1,11,4
202021,VATD05500V,SCUOLA SECONDARIA II GRADO,3,1,2,1
202021,MIPSRS500B,SCUOLA SECONDARIA II GRADO,3,1,5,1
202021,AR1E00400L,SCUOLA PRIMARIA,5,1,7,14
202021,BA1E00200Q,SCUOLA PRIMARIA,5,1,9,4
202021,CT1E82801D,SCUOLA PRIMARIA,4,1,5,11
202021,VR1E00200B,SCUOLA PRIMARIA,1,1,8,4
202021,SAPL025004,SCUOLA SECONDARIA II GRADO,4,1,0,4
202021,RNTL025002,SCUOLA SECONDARIA II GRADO,4,1,1,0
202021,RM1M02700D,SCUOLA SECONDARIA I GRADO,2,1,0,21
202021,RN1E00800R,SCUOLA PRIMARIA,3,4,38,44
202021,PRTD02500N,SCUOLA SECONDARIA II GRADO,3,1,2,5
202021,TO1M01400V,SCUOLA SECONDARIA I GRADO,1,1,7,4
202021,TO1E00700E,SCUOLA PRIMARIA,1,1,13,11
202021,CN1E00200V,SCUOLA PRIMARIA,1,1,8,9
202021,CO1M01100G,SCUOLA SECONDARIA I GRADO,2,2,23,9
202021,RM1E01700N,SCUOLA PRIMARIA,1,1,6,5
202021,LE1M00400B,SCUOLA SECONDARIA I GRADO,3,2,18,11
202021,SSTF00500Q,SCUOLA SECONDARIA II GRADO,4,1,2,0
202021,NA1EM9500T,SCUOLA PRIMARIA,2,1,7,6
202021,BAPSV85002,SCUOLA SECONDARIA II GRADO,4,2,34,19
202021,NA1M05100B,SCUOLA SECONDARIA I GRADO,2,1,6,12
202021,NA1E11700G,SCUOLA PRIMARIA,3,2,9,28
